,book_authors,book_name
61,"Alexandre Dumas, Robin Buss",Le Comte de Monte-Cristo
62,Louisa May Alcott,Little Women
63,Orson Scott Card,Ender's Game
64,"Sophocles, J.E. Thomas",Ἀντιγόνη
65,Sue Monk Kidd,The Secret Life of Bees
66,Orson Scott Card,Speaker for the Dead
67,Ken Follett,World Without End
68,"Gabriel García Márquez, Gregory Rabassa",Cien años de soledad
69,Jane Austen,Pride and Prejudice
70,Tracy Chevalier,Girl with a Pearl Earring
71,Mark Haddon,The Curious Incident of the Dog in the Night-Time
72,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",The Scarlet Letter
73,Arthur Golden,Memoirs of a Geisha
74,Anita Diamant,The Red Tent
75,Anne Rice,Cry to Heaven
76,Rebecca Wells,Divine Secrets of the Ya-Ya Sisterhood
77,Carol Shields,The Stone Diaries
78,Leif Enger,Peace Like a River
79,Khaled Hosseini,The Kite Runner 
80,Kim Edwards,The Memory Keeper's Daughter
81,Claire Messud,The Emperor's Children
82,Azar Nafisi,Reading Lolita in Tehran: A Memoir in Books
83,Peter Mayle,A Year in Provence
84,Augusten Burroughs,Running with Scissors
85,Beryl Markham,West with the Night
86,"Paulo Coelho, Alan R. Clarke",O Alquimista
87,Margaret Atwood,The Handmaid's Tale
88,Harper Lee,To Kill a Mockingbird
89,"George Orwell, Erich Fromm, Celâl Üster",Nineteen Eighty-Four
90,Ian McEwan,Atonement
91,Tatiana de Rosnay,Elle s'appelait Sarah
92,John Irving,A Prayer for Owen Meany
93,John Steinbeck,Of Mice and Men 
94,"Milan Kundera, Michael Henry Heim",Nesnesitelná lehkost bytí
95,"Albert Camus, Matthew    Ward",L’Étranger
96,Jeannette Walls,The Glass Castle
97,Walter Isaacson,Steve Jobs
98,Rob Lowe,
99,Joshua Foer,Moonwalking with Einstein: The Art and Science of Remembering Everything
100,Alice Walker,The Color Purple
101,Kurt Vonnegut Jr.,A Man Without a Country
102,Salman Rushdie,Midnight's Children
103,"Leo Tolstoy, Henry Gifford, Aylmer Maude, Louise Maude",Война и миръ
104,Stephen King,The Shining
105,Chad Harbach,The Art of Fielding
106,Margaret Mitchell,Gone with the Wind
107,Matthew Pearl,The Dante Club
108,"Charlotte Brontë, Michael Mason",Jane Eyre
109,"Ayn Rand, Leonard Peikoff",The Fountainhead
110,"Fyodor Dostoyevsky, Constance Garnett, Alan Myers, Joseph Frank, Anna Brailovsky",Идиот
111,"Leo Tolstoy, Aylmer Maude",Смерть Ивана Ильича
112,Toni Morrison,Beloved
113,Wally Lamb,She's Come Undone
114,Jean M. Auel,The Clan of the Cave Bear
115,"Gabriel García Márquez, Edith Grossman",El amor en los tiempos del cólera
116,Yann Martel,Life of Pi
